n,delta_n,z
144,0.5007464182,72.1074842241
145,0.5320458819,77.1466528795
146,0.4916492297,71.7807875412
147,0.4091247179,60.1413335345
148,0.3440754181,50.9231618832
149,0.3433708546,51.1622573368
150,0.4077808490,61.1671273498
151,0.4916891769,74.2450657104
152,0.5357923603,81.4404387687
153,0.5092771464,77.9194033939
154,0.4315015113,66.4512327453
155,0.3580196424,55.4930445782
156,0.3411354002,53.2171224384
157,0.3930270598,61.7052483915
158,0.4773877539,75.4272651096
159,0.5352144060,85.0990905544
160,0.5263511907,84.2161905149
161,0.4575370507,73.6634651699
162,0.3774427676,61.1457283490
163,0.3424407698,55.8178454728
164,0.3772318556,61.8660243173
165,0.4577996407,75.5369407149
166,0.5283668067,87.7088899143
167,0.5403000765,90.2301127686
168,0.4858053532,81.6152993355
169,0.4031207210,68.1274018573
170,0.3498433002,59.4733610408
171,0.3630596480,62.0831998036
172,0.4338734742,74.6262375634
173,0.5137562470,88.8798307352
174,0.5481075223,95.3707088773
175,0.5137739331,89.9104382895
176,0.4347735052,76.5201369073
177,0.3656256690,64.7157434095
178,0.3539292224,62.9994015905
179,0.4078942615,73.0130728111
180,0.4909283717,88.3671069075
181,0.5467623744,98.9639897619
182,0.5378054825,97.8805978077
183,0.4705875489,86.1175214471
184,0.3911289690,71.9677302940
185,0.3535919299,65.4145070397
186,0.3836083263,71.3511486972
187,0.4610931711,86.2244229994
188,0.5339985507,100.3917275307
189,0.5535229644,104.6158402761
190,0.5069348399,96.3176195751
191,0.4259702837,81.3603241815
192,0.3653390702,70.1451014744
193,0.3659523627,70.6288060053
194,0.4275934786,82.9531348562
195,0.5092390577,99.3016162446
196,0.5566281926,109.0991257455
197,0.5385087917,106.0862319564
198,0.4673590446,92.5370908242
199,0.3909020670,77.7895113361
200,0.3602461977,72.0492395312
201,0.3959498120,79.5859122026
202,0.4745189186,95.8528215628
203,0.5441435367,110.4611379514
204,0.5590764538,114.0515965769
205,0.5098265538,104.5144435381
206,0.4292744241,88.4305313741
207,0.3708344491,76.7627309633
208,0.3732145746,77.6286315175
209,0.4350260649,90.9204475677
210,0.5158538729,108.3293133177
211,0.5629197946,118.7760766547
212,0.5457104901,115.6906238985
213,0.4758601670,101.3582155653
214,0.3993822142,85.4677938289
215,0.3664916609,78.7957070861
216,0.3988370622,86.1488054306
217,0.4755051214,103.1846113370
218,0.5467921386,119.2006862094
219,0.5666234377,124.0905328528
220,0.5224585968,114.9408912898
221,0.4433005339,97.9694179957
222,0.3807489638,84.5262699723
223,0.3755194156,83.7408296815
224,0.4311588856,96.5795903654
225,0.5118910924,115.1754957960
226,0.5658413336,127.8801413956
227,0.5585270837,126.7856479898
228,0.4949951084,112.8588847043
229,0.4164338321,95.3633475428
230,0.3735825921,85.9239961828
231,0.3941339774,91.0449487892
232,0.4650611502,107.8941868494
233,0.5411044749,126.0773426504
234,0.5738417951,134.2789800525
235,0.5426484980,127.5223970365
236,0.4677697895,110.3936703103
237,0.3972658734,94.1520120048
238,0.3762916201,89.5574055882
239,0.4183620568,99.9885315715
240,0.4968655215,119.2477251544
241,0.5621065270,135.4676730077
242,0.5729245948,138.6477519503
243,0.5227636665,127.0315709541
244,0.4437090777,108.2650149638
245,0.3860545176,94.5833568087
246,0.3864456538,95.0656308431
247,0.4447800156,109.8606638474
248,0.5243925390,130.0493496736
249,0.5752883679,143.2468036194
250,0.5656722218,141.4180554583
251,0.5018944419,125.9755049108
252,0.4243359435,106.9326577745
253,0.3819395190,96.6306983165
254,0.4014751491,101.9746878674
255,0.4708306200,120.0618080926
256,0.5467202467,139.9603831646
257,0.5818658326,149.5395189874
258,0.5545623480,143.0770857868
259,0.4821528825,124.8775965722
260,0.4100855509,106.6222432258
261,0.3834946868,100.0921132420
262,0.4190914763,109.8019668003
263,0.4948530153,130.1463430227
264,0.5638327999,148.8518591675
265,0.5833972891,154.6002816212
266,0.5416705892,144.0843767200
267,0.4648046618,124.1028446890
268,0.4006636011,107.3778450858
269,0.3891330914,104.6768015738
270,0.4374788920,118.1193008441
271,0.5159549263,139.8237850363
272,0.5762763378,156.7471638762
273,0.5814561375,158.7375255247
274,0.5285655747,144.8269674594
275,0.4504374706,123.8703044210
276,0.3953626605,109.1200943033
277,0.3973614015,110.0691082283
278,0.4553308266,126.5819697840
279,0.5338232199,148.9366783505
280,0.5848788538,163.7660790575
281,0.5774426577,162.2613868191
282,0.5163248270,145.6036012167
283,0.4391569031,124.2814035688
284,0.3933026057,111.6979400177
285,0.4069108721,115.9695985409
286,0.4717967542,134.9338717102
287,0.5485326123,157.4288597371
288,0.5905500994,170.0784286413
289,0.5725010640,165.4528074994
290,0.5056129367,146.6277516557
291,0.4307659408,125.3528887600
292,0.3935923956,114.9289795281
293,0.4167815934,122.1170068766
294,0.4863892753,142.9984469499
295,0.5603828194,165.3129317087
296,0.5941550300,175.8698888691
297,0.5675056361,168.5491739119
298,0.4967814581,148.0408745111
299,0.4249088861,127.0477569374
300,0.3954256952,118.6277085593
301,0.4262337168,128.2963487647
302,0.4988834133,150.6627908151
303,0.5697745178,172.6416789038
304,0.5964448138,181.3192234046
305,0.5630857785,171.7411624568
306,0.4899662333,149.9296673818
307,0.4211760211,129.3010384786
308,0.3981278384,122.6233742301
309,0.4347516986,134.3382748712
310,0.5092257729,157.8599896083
311,0.5771230480,179.4852679435
312,0.5980278117,186.5846772561
313,0.5596681929,175.1761443854
314,0.4851700314,152.3433898487
315,0.4191733242,132.0395971250
316,0.4011708817,126.7699986218
317,0.4419993222,140.1137851337
318,0.5174612267,164.5526700911
319,0.5828034999,185.9143164534
320,0.5993652237,191.7968715923
321,0.5575221171,178.9645995834
322,0.4823262969,155.3090675865
323,0.4185646749,135.1963900021
324,0.4041702730,130.9511684671
325,0.4477762749,145.5272893518
326,0.5236787409,170.7192695365
327,0.5871193928,191.9880414468
328,0.6007797855,197.0557696503
329,0.5567996464,183.1870836629
330,0.4813442586,158.8436053225
331,0.4190941902,138.7201769520
332,0.4068728615,135.0817900016
333,0.4519819498,150.5099892793
334,0.5279748306,176.3435934238
335,0.5902878004,197.7464131278
336,0.6024695863,202.4297809897
337,0.5575673456,187.9001954514
338,0.4821376968,162.9625415035
339,0.4205951352,142.5817508473
340,0.4091425322,139.1084609560
341,0.4545887776,155.0147731666
342,0.5304319270,181.4077190230
343,0.5924353005,203.2053080586
344,0.6045221875,207.9556324895
345,0.5598279945,193.1406580892
346,0.4846402335,167.6855208030
347,0.4229901584,146.7775849636
348,0.4109470130,143.0095605207
349,0.4556253798,159.0132575328
350,0.5311088371,185.8880929765
351,0.5936008675,208.3539044814
352,0.6069265935,213.6381609274
353,0.5635328211,198.9270858604
354,0.4888097956,173.0386676462
355,0.4262859117,151.3314986615
356,0.4123473709,146.7956640377
357,0.4551687227,162.4952340101
358,0.5300408938,189.7546399848
359,0.5937434046,213.1538822375
360,0.6095823365,219.4496411414
361,0.5685853746,205.2593202313
362,0.4946243725,179.0540228418
363,0.4305636761,156.2946144318
364,0.4134902859,150.5104640774
365,0.4533438821,165.4705169700
366,0.5272479562,192.9727519631
367,0.5927528990,217.5403139486
368,0.6123061352,225.3286577401
369,0.5748386101,212.1154471284
370,0.5020706492,185.7661401890
371,0.4359664931,161.7435689237
372,0.4146021851,154.2320128721
373,0.4503297005,167.9729783017
374,0.5227489021,195.5080894009
375,0.5904651275,221.4244227957
376,0.6148374246,231.1788716451
377,0.5820870302,219.4468103761
378,0.5111267042,193.2058941950
379,0.4426825347,167.7766806330
380,0.4159836260,158.0737778977
381,0.4463683684,170.0663483736
382,0.5165815281,197.3341437411
383,0.5866804357,224.6986068883
384,0.6168446297,236.8683378039
385,0.5900559918,227.1715568615
386,0.5217398242,201.3915721287
387,0.4509240160,174.5075942052
388,0.4180018431,162.1847151377
389,0.4417766624,171.8511216567
390,0.5088267671,198.4424391820
391,0.5811873759,227.2442639666
392,0.6179344342,242.2302982057
393,0.5983906200,235.1675136434
394,0.5338006350,210.3174502040
395,0.4609008713,182.0558441717
396,0.4210790913,166.7473201677
397,0.4369562095,173.4716151552
398,0.4996358372,198.8550632007
399,0.5737918857,228.9429624080
400,0.6176664725,247.0665889948
401,0.6066471621,243.2655120101
402,0.5471151992,219.9403100778
403,0.4727886910,190.5338424854
404,0.4256743591,171.9724410945
405,0.4323997355,175.1218928690
406,0.4892583463,198.6388885847
407,0.5643522360,229.6913600354
408,0.6155758009,251.1549267581
409,0.6142900267,251.2446209393
410,0.5613774366,230.1647489860
411,0.4866910722,200.0300306859
412,0.4322562488,178.0895744897
413,0.4286898805,177.0489206282
414,0.4780685613,197.9203843663
415,0.5528191212,229.4199353147
416,0.6112051034,254.2613229977
417,0.6206980527,258.8310879938
418,0.5761451309,240.8286647324
419,0.5025975705,210.5883820477
420,0.4412654230,185.3314776405
421,0.4264869640,179.5510118577
422,0.4665860957,196.8993323912
423,0.5392790505,228.1150383716
424,0.6041477580,256.1586493900
425,0.6251836129,265.7030354914
426,0.5908237462,251.6909158623
427,0.5203398380,222.1851108184
428,0.4530660966,193.9122893550
429,0.4265022253,182.9694546538
430,0.4554863445,195.8591281268
431,0.5239976451,225.8429850532
432,0.5941015453,256.6518675821
433,0.6270277636,271.5030216372
434,0.6046631095,262.4237895183
435,0.5395501953,234.7043349423
436,0.4678876737,203.9990257120
437,0.4294537486,187.6712881273
438,0.4455953172,195.1707489214
439,0.5074577144,222.7739366118
440,0.5809308772,255.6095859611
441,0.6255336209,275.8603268062
442,0.6167724692,272.6134314050
443,0.5596286445,247.9154895118
444,0.4857598026,215.6773523680
445,0.4360037079,194.0216500141
446,0.4378633784,195.2870667528
447,0.4903852710,219.2022161394
448,0.5647330063,253.0003868405
449,0.6200982973,278.4241354853
450,0.6261591899,281.7716354537
451,0.5797259012,261.4563814433
452,0.5064467454,228.9139289373
453,0.4466778596,202.3450704209
454,0.4333131135,196.7241535078
455,0.4737553105,215.5586662937
456,0.5459009170,248.9308181662
457,0.6103009774,278.9075466708
458,0.6317950921,289.3621521619
459,0.5987510187,274.8267175963
460,0.5293897693,243.5192938603
461,0.4617714149,212.8766222462
462,0.4329584126,200.0267866298
463,0.4587686468,212.4098834607
464,0.5251728302,243.6801932202
465,0.5960010972,277.1405102127
466,0.6327118941,294.8437426681
467,0.6154121200,287.3974600340
468,0.5536688580,259.1170255581
469,0.4812493837,225.7059609753
470,0.4376951319,205.7167119828
471,0.4467918721,210.4389717472
472,0.5036560052,237.7256344340
473,0.5774363802,273.1274078242
474,0.6281232160,297.7304043989
475,0.6282971345,298.4411388846
476,0.5779967868,275.1264705370
477,0.5046538185,240.7198714388
478,0.4481683998,214.2244951210
479,0.4392550803,210.4031834850
480,0.4828114630,231.7495022454
481,0.5553061946,267.1022795928
482,0.6175652379,297.6664446734
483,0.6359978255,307.1869497221
484,0.6007587703,290.7672448206
485,0.5310344177,257.5516925669
486,0.4646275617,225.8089949831
487,0.4375067073,213.0657664766
488,0.4643871776,226.6209426449
489,0.5308221478,259.5720302758
490,0.6010417808,294.5104725737
491,0.6372745538,312.9018059076
492,0.6201087004,305.0934806149
493,0.5589217524,275.5484239372
494,0.4867862765,240.4724206053
495,0.4426317711,219.1027266861
496,0.4502909168,223.3442947108
497,0.5057060762,251.3359198790
498,0.5791531146,288.4182510689
499,0.6312512988,314.9943981134
500,0.6341277751,317.0638875695
501,0.5863627889,293.7677572500
502,0.5137113639,257.8831046632
503,0.4552485527,228.9900219974
504,0.4424007930,222.9699996924
505,0.4821168193,243.4689937605
506,0.5531824676,279.9103285840
507,0.6176211133,313.1339044668
508,0.6410427685,325.6497263939
509,0.6110352291,311.0169316273
510,0.5437681728,277.3217681201
511,0.4753083654,242.8825747133
512,0.4423217372,226.4687294276
513,0.4624924791,237.2586417592
514,0.5251116246,269.9073750319
515,0.5968327266,307.3688541858
516,0.6394895936,329.9766302719
517,0.6304495370,325.9424106096
518,0.5746507909,297.6691097106
519,0.5019318817,260.5026466137
520,0.4511088824,234.5766188471
521,0.4493049631,234.0878857627
522,0.4975389359,259.7153245378
523,0.5702213879,298.2257858796
524,0.6287942599,329.4881921758
525,0.6422349880,337.1733687048
526,0.6035206067,317.4518390982
527,0.5333213006,281.0603253948
528,0.4689926517,247.6281201017
529,0.4447384281,235.2666284628
530,0.4734810602,250.9449619095
531,0.5400436886,286.7631986322
532,0.6092299027,324.1103082416
533,0.6444892691,343.5127804518
534,0.6272653095,334.9596752532
535,0.5667878847,303.2315183008
536,0.4951526359,265.4018128219
537,0.4503215831,241.8226901476
538,0.4560547008,245.3574290551
539,0.5093795672,274.5555867054
540,0.5821982380,314.3870485027
541,0.6361519178,344.1581875526
542,0.6428720651,348.4366592744
543,0.5989266807,325.2171876115
544,0.5275947955,287.0115687353
545,0.4665631245,254.2769028261
546,0.4480560644,244.6386111448
547,0.4818770803,263.5867629078
548,0.5502801579,301.5535265042
549,0.6173434897,338.9215758357
550,0.6478845362,356.3364948943
551,0.6259529727,344.9000879709
552,0.5631854525,310.8783697843
553,0.4926559338,272.4387313664
554,0.4514816506,250.1208344442
555,0.4613376671,256.0424052339
556,0.5171067717,287.5113650824
557,0.5895992629,328.4067894426
558,0.6408867564,357.6148100460
559,0.6441882580,360.1012362287
560,0.5978827608,334.8143460520
561,0.5263241754,295.2678623878
562,0.4670601562,262.4878078119
563,0.4511704277,254.0089507748
564,0.4870215996,274.6801821705
565,0.5559236458,314.0968598966
566,0.6219326784,352.0138959708
567,0.6506496472,368.9183499668
568,0.6271801708,356.2383370264
569,0.5638830163,320.8494362793
570,0.4938858071,281.5149100194
571,0.4537796268,259.1081668900
572,0.4645373524,265.7153655826
573,0.5206039310,298.3060524559
574,0.5928251061,340.2816109089
575,0.6436607273,370.1049181852
576,0.6467377657,372.5209530646
577,0.6005594158,346.5227829161
578,0.5292513397,305.9072743682
579,0.4699837213,272.1205746529
580,0.4536341749,263.1078214499
581,0.4887524675,283.9651836453
582,0.5571487120,324.2605503838
583,0.6233718276,363.4257754875
584,0.6531306993,381.4283283896
585,0.6310829813,369.1835440885
586,0.5687674903,333.2977493060
587,0.4985879410,292.6711213488
588,0.4569939969,268.7124701838
589,0.4655941057,274.2349282448
590,0.5199846974,306.7909714755
591,0.5920626895,349.9090495063
592,0.6445975976,381.6017777751
593,0.6505010898,385.7471462800
594,0.6068208702,360.4515968954
595,0.5362362687,319.0605799002
596,0.4753077096,283.2833949373
597,0.4555756008,271.9786336483
598,0.4872817529,291.3944882630
599,0.5541099150,331.9118390595
600,0.6216371631,372.9822978542
601,0.6551102415,393.7212551699
602,0.6373636266,383.6929032355
603,0.5776444783,348.3196204185
604,0.5068158173,306.1167536693
605,0.4614350426,279.1682007912
606,0.4649262723,281.7453210149
607,0.5155415633,312.9337289412
608,0.5872911201,357.0730010021
609,0.6433388548,391.7933625859
610,0.6549526355,399.5211076327
611,0.6162599151,376.5348081002
612,0.5472366568,334.9088339325
613,0.4834173946,296.3348628895
614,0.4576344264,280.9875378028
615,0.4831724039,297.1510283927
616,0.5469771088,336.9378989957
617,0.6163817033,380.3075109352
618,0.6558764849,405.3316676407
619,0.6453093101,399.4464629335
620,0.5901904687,365.9180905716
621,0.5188400562,322.1996748696
622,0.4678631734,291.0108938487
623,0.4634079125,288.7031294624
624,0.5078016464,316.8682273504
625,0.5783892991,361.4933119180
626,0.6391444074,400.1043990370
627,0.6590953977,413.2528143686
628,0.6281413089,394.4727420134
629,0.5621853112,353.6145607396
630,0.4949854554,311.8408368723
631,0.4609062213,290.8318256562
632,0.4773869979,301.7085826786
633,0.5360684752,339.3313448281
634,0.6070844889,384.8915659767
635,0.6543076299,415.4853450066
636,0.6537615246,415.7923296650
637,0.6058171231,385.9055074058
638,0.5349754302,341.3143244404
639,0.4773701898,305.0395512881
640,0.4623711827,295.9175569110
641,0.4976551550,318.9969543772
642,0.5653280351,362.9405985622
643,0.6310489800,405.7644941654
644,0.6614968362,426.0039625425
645,0.6412926639,413.6337682197
646,0.5807873689,375.1886403125
647,0.5107784602,330.4736637478
648,0.4668603443,302.5255030974
649,0.4713647332,305.9157118482
650,0.5220525573,339.3341622262
651,0.5932769585,386.2233000069
652,0.6490055266,423.1516033222
653,0.6610840964,431.6879149234
654,0.6234843856,407.7587881816
655,0.5553304685,363.7414568801
656,0.4911927211,322.2224250625
657,0.4635820749,304.5734232041
658,0.4865112820,320.1244235333
659,0.5484317116,361.4164979606
660,0.6180985143,407.9450194388
661,0.6603780051,436.5098613537
662,0.6539961795,432.9454708015
663,0.6022640678,399.3010769613
664,0.5313791291,352.8357417470
665,0.4771816913,317.3258246869
666,0.4670667010,311.0664228601
667,0.5061798459,337.6219572383
668,0.5748484973,383.9987962199
669,0.6385222753,427.1714022091
670,0.6651938766,445.6798973460
671,0.6415143982,430.4561611790
672,0.5794927982,389.4191603794
673,0.5104244258,343.5156385444
674,0.4691253679,316.1904979513
675,0.4764184749,321.5824705592
676,0.5286795655,357.3873862791
677,0.5996857233,405.9872347070
678,0.6538157112,443.2870521947
679,0.6639524640,450.8237230571
680,0.6250901839,425.0613250727
681,0.5568230847,379.1965206646
682,0.4934860330,336.5574744971
683,0.4669142755,318.9024501914
684,0.4904808213,335.4888817775
685,0.5524119488,378.4021849212
686,0.6217151113,426.4965663320
687,0.6637276986,455.9809289282
688,0.6574824148,452.3479014100
689,0.6061911720,417.6657175372
690,0.5356114411,369.5718943732
691,0.4811330840,332.4629610691
692,0.4700644708,325.2846138113
693,0.5079844689,352.0332369629
694,0.5759765103,399.7276981759
695,0.6401087467,444.8755789575
696,0.6684031923,465.2086218311
697,0.6468057311,450.8235945994
698,0.5861846146,409.1568610140
699,0.5168791001,361.2984909996
700,0.4735393154,331.4775207957
701,0.4778362536,334.9632137503
702,0.5276679989,370.4229352045
703,0.5982325979,420.5575162965
704,0.6544131424,460.7068522272
705,0.6682854922,471.1412719784
706,0.6330196716,446.9118881395
707,0.5662588146,400.3449819181
708,0.5013110259,354.9282063258
709,0.4705575360,333.6252930541
710,0.4893442377,347.4344087565
711,0.5483671846,389.8890682247
712,0.6183239648,440.2466629083
713,0.6644989301,473.7877371851
714,0.6640187652,474.1093983714
715,0.6172024756,441.2997700604
716,0.5473791070,391.9234406009
717,0.4892824690,350.8155302722
718,0.4718010897,338.7531823988
719,0.5036511388,362.1251687917
720,0.5690738128,409.7331451955
721,0.6356744178,458.3212552160
722,0.6704976503,484.0993034958
723,0.6563595420,474.5479488476
724,0.6003446171,434.6495027683
725,0.5302725196,384.4475766759
726,0.4809028785,349.1354897785
727,0.4767230967,346.5776913171
728,0.5198416156,378.4446961831
729,0.5889674798,429.3572927494
730,0.6499631413,474.4730931736
731,0.6727348243,491.7691565789
732,0.6461023315,472.9469066324
733,0.5833042816,427.5620384428
734,0.5154342781,378.3287601104
735,0.4760684597,349.9103179065
736,0.4846873262,356.7298720806
737,0.5370755492,395.8246797725
738,0.6074253570,448.2799134866
739,0.6610875719,488.5437155988
740,0.6716660064,497.0328447085
741,0.6340215729,469.8099855164
742,0.5667838860,420.5536434085
743,0.5031493903,373.8399969835
744,0.4745165579,353.0403190641
745,0.4950272327,368.7952883380
746,0.5546222403,413.7481912991
747,0.6240154087,466.1395103296
748,0.6691204024,500.5020610128
749,0.6678201610,500.1973005820
750,0.6208299629,465.6224721501
751,0.5513235288,414.0439701440
752,0.4935232712,371.1294999438
753,0.4758769935,358.3353760903
754,0.5070918303,382.3472400252
755,0.5718782582,431.7680849184
756,0.6384783228,482.6896120359
757,0.6742657817,510.4191967843
758,0.6617527195,501.6085613970
759,0.6071517389,460.8281698095
760,0.5373070464,408.3533552808
761,0.4865164508,370.2390190924
762,0.4797172540,365.5445475477
763,0.5202786337,396.9725974829
764,0.5883722430,449.5163936272
765,0.6507027615,497.7876125164
766,0.6768182712,518.4427957381
767,0.6540091071,501.6249851545
768,0.5935086616,455.8146521206
769,0.5249766143,403.7070164184
770,0.4819795959,371.1242888683
771,0.4855799236,374.3821210585
772,0.5340549134,412.2903931262
773,0.6037600373,466.7065088585
774,0.6606976685,511.3799953855
775,0.6771267893,524.7732616818
776,0.6450984186,500.5963728074
777,0.5803160880,450.9056004021
778,0.5144523900,400.2439594245
779,0.4796862198,373.6755652508
780,0.4930118700,384.5492586176
781,0.5479690792,427.9638508191
782,0.6178132593,483.1299687585
783,0.6685644489,523.4859635005
784,0.6755646791,529.6427084069
785,0.6354762047,498.8488207247
786,0.5678865279,446.3588109198
787,0.5057543765,398.0286943333
788,0.4793614533,377.7368251705
789,0.5015855112,395.7509683306
790,0.5616542219,443.7068352762
791,0.6304039812,498.6495491484
792,0.6744709747,534.1810119723
793,0.6725062037,533.2974195631
794,0.6255349439,496.6747454444
795,0.5564383043,442.3684519452
796,0.4988243903,397.0642146822
797,0.4807060570,383.1227273925
798,0.5109129902,407.7085662068
799,0.5748258150,459.2858262247
800,0.6414876491,513.1901192944
801,0.6786286230,543.5815270458
802,0.6683091922,535.9839721232
803,0.6156006341,494.3273092100
804,0.5461072936,439.0702640707
805,0.4935466652,397.3050655054
806,0.4834154677,389.6328669420
807,0.5206543618,420.1680699496
808,0.5872753895,474.5185147460
809,0.6510858436,526.7284474922
810,0.6812729568,551.8310949800
811,0.6633031922,537.9388889090
812,0.6059339803,492.0183920076
813,0.5369601228,436.5485798396
814,0.4897661813,398.6696715626
815,0.4871940946,397.0631870725
816,0.5305209813,432.9051207687
817,0.5988617220,489.2700269103
818,0.6592699987,539.2828589081
819,0.6826482050,559.0888799094
820,0.6577822931,539.3814803073
821,0.5967347948,489.9192665420
822,0.5290076046,434.8442510171
823,0.4873042501,401.0513978453
824,0.4917653512,405.2146494082
825,0.5402752582,445.7270880183
826,0.6095007740,503.4476393414
827,0.6661467789,550.9033861532
828,0.6829953872,565.5201805666
829,0.6520017145,540.5094213074
830,0.5881484387,488.1632041278
831,0.5222175520,433.9627857424
832,0.4859712250,404.3280592265
833,0.4968780513,413.8994167144
834,0.5497278206,458.4730024134
835,0.6191553184,516.9946908245
836,0.6718454863,561.6628265650
837,0.6825437247,571.2890975571
838,0.6461772861,541.4965657496
839,0.5802733555,486.8493452290
840,0.5165264228,433.8821951280
841,0.4855764376,408.3697840569
842,0.5023098448,422.9448892805
843,0.5587329899,471.0119104861
844,0.6278249211,529.8842334174
845,0.6765076160,571.6489354971
846,0.6815048770,576.5531259573
847,0.6404870190,542.4925050508
848,0.5731689719,486.0472881808
849,0.5118494928,434.5602193784
850,0.4859356139,413.0452718333
851,0.5078683562,432.1959711202
852,0.5671832923,483.2401650607
853,0.6355367158,542.1128186043
854,0.6802785041,580.9578425385
855,0.6800694980,581.4594207746
856,0.6350740845,543.6234163360
857,0.5668634413,485.8019692200
858,0.5080894439,435.9407428567
859,0.4868761060,418.2265750291
860,0.5133906288,441.5159407864
861,0.5750035753,495.0780783732
862,0.6423372228,553.6946860592
863,0.6833008971,589.6886742011
864,0.6784056176,586.1424535905
865,0.6300506369,544.9938009607
866,0.5613608743,486.1385171390
867,0.5051433859,437.9593155783
868,0.4882403091,423.7925882777
869,0.5187413995,450.7862761530
870,0.5821451452,506.4662763230
871,0.6482853245,564.6565176035
872,0.6857102028,597.9392968807
873,0.6766583927,590.7227768001
