n,delta_n,z
1,0.0000000000,0.0000000000
2,0.1510156384,0.3020312769
3,0.1382771042,0.4148313126
4,0.0309605854,0.1238423415
5,0.0894976298,0.4474881490
6,0.2362288881,1.4173733289
7,0.2392060286,1.6744422002
8,0.1229255591,0.9834044731
9,0.0990584362,0.8915259257
10,0.2174596601,2.1745966008
11,0.3079602384,3.3875626222
12,0.2506419460,3.0077033516
13,0.1431550756,1.8610159831
14,0.1472844419,2.0619821865
15,0.2632697846,3.9490467689
16,0.3406683708,5.4506939328
17,0.2858498761,4.8594478933
18,0.1795454876,3.2318187776
19,0.1644579758,3.1247015401
20,0.2635608141,5.2712162812
21,0.3579231560,7.5163862756
22,0.3380295659,7.4366504505
23,0.2345952985,5.3956918652
24,0.1761063452,4.2265522847
25,0.2346088764,5.8652219103
26,0.3447878866,8.9644850521
27,0.3838431558,10.3637652061
28,0.3123347215,8.7453722013
29,0.2153223988,6.2443495640
30,0.2039830765,6.1194922960
31,0.2929028214,9.0799874649
32,0.3873184542,12.3941905347
33,0.3884608685,12.8192086620
34,0.2990427742,10.1674543232
35,0.2174735208,7.6115732297
36,0.2319483993,8.3501423731
37,0.3289315720,12.1704681646
38,0.4098123027,15.5728675012
39,0.3941689522,15.3725891345
40,0.3011662637,12.0466505493
41,0.2277893319,9.3393626082
42,0.2496877839,10.4868869242
43,0.3462559754,14.8890069411
44,0.4231885944,18.6202981516
45,0.4068845741,18.3098058331
46,0.3159846608,14.5352943948
47,0.2413435532,11.3431470001
48,0.2567853622,12.3256973843
49,0.3485261272,17.0777802351
50,0.4300359556,21.5017977819
51,0.4256091048,21.7060643447
52,0.3416854058,17.7676411010
53,0.2593108538,13.7434752488
54,0.2570515462,13.8807834973
55,0.3379679897,18.5882394358
56,0.4280714454,23.9720009402
57,0.4457465979,25.4075560791
58,0.3766728814,21.8470271192
59,0.2858046044,16.8624716579
60,0.2571482290,15.4288937422
61,0.3175453769,19.3702679922
62,0.4133936731,25.6304077346
63,0.4598672470,28.9716365639
64,0.4170351408,26.6902490080
65,0.3246781127,21.1040773284
66,0.2659726372,17.5541940555
67,0.2936206304,19.6725822392
68,0.3840341465,26.1143219619
69,0.4589787335,31.6695326142
70,0.4543963469,31.8077442837
71,0.3757621721,26.6791142204
72,0.2924589679,21.0570456884
73,0.2772575005,20.2397975351
74,0.3438803077,25.4471427662
75,0.4360065755,32.7004931643
76,0.4760673816,36.1811210003
77,0.4313007003,33.2101539246
78,0.3409182881,26.5916264755
79,0.2822340996,22.2964938701
80,0.3053122626,24.4249810090
81,0.3913798307,31.7017662838
82,0.4692541990,38.4788443207
83,0.4751028492,39.4335364838
84,0.4052658544,34.0423317725
85,0.3186342938,27.0839149702
86,0.2874857652,24.7237758052
87,0.3379996940,29.4059733783
88,0.4293033415,37.7786940484
89,0.4875134618,43.3886981022
90,0.4661899752,41.9570977702
91,0.3837427456,34.9205898497
92,0.3079005188,28.3268477291
93,0.3005941655,27.9552573891
94,0.3681922112,34.6100678509
95,0.4569190418,43.4073089722
96,0.4964399146,47.6582317978
97,0.4561302301,44.2446323200
98,0.3690796461,36.1698053224
99,0.3052556128,30.2203056623
100,0.3157940327,31.5794032742
101,0.3927974773,39.6725452036
102,0.4760713529,48.5592779908
103,0.5008551392,51.5880793395
104,0.4485975366,46.6541438112
105,0.3610619474,37.9115044785
106,0.3072626285,32.5698386240
107,0.3295682223,35.2637997876
108,0.4110519307,44.3936085107
109,0.4890749080,53.3091649753
110,0.5040190669,55.4420973574
111,0.4451871418,49.4157727447
112,0.3586371793,40.1673640795
113,0.3114230516,35.1908048253
114,0.3401344936,38.7753322754
115,0.4232022577,48.6682596334
116,0.4977674453,57.7410236524
117,0.5077599846,59.4079181935
118,0.4463634135,52.6708827947
119,0.3608083143,42.9361893970
120,0.3163180331,37.9581639690
121,0.3468400062,41.9676407535
122,0.4297491849,52.4294005575
123,0.5032251829,61.8966974998
124,0.5128125269,63.5887533320
125,0.4520549853,56.5068731577
126,0.3669764648,46.2390345607
127,0.3214728625,40.8270535354
128,0.3497391440,44.7666104301
129,0.4311262445,55.6152855429
130,0.5057830083,65.7517910775
131,0.5191028613,68.0024748285
132,0.4619256100,60.9741805227
133,0.3769771040,50.1379548311
134,0.3271707453,43.8408798657
135,0.3493842038,47.1668675115
136,0.4276575399,58.1614254332
137,0.5051771121,69.2092643521
138,0.5259256075,72.5777338328
139,0.4754161231,66.0828411111
140,0.3909523383,54.7333273554
141,0.3342794812,47.1334068514
142,0.3467724452,49.2416872208
143,0.4196831655,60.0146926646
